max_bpm,avg_bpm,resting_bpm,fat_percentage,water_intake (liters)
,167.0,74.0,29.0,3.0
169,156.0,57.0,10.0,2.5
189,149.0,59.0,22.3,1.9
182,136.0,69.0,17.4,1.7
175,142.0,63.0,27.7,3.5
163,135.0,67.0,14.5,3.5
176,169.0,69.0,27.6,3.7
178,138.0,65.0,20.9,2.6
169,141.0,74.0,29.1,3.2
177,155.0,71.0,27.0,3.2
197,145.0,55.0,25.3,1.5
177,153.0,74.0,23.6,2.4
181,146.0,72.0,11.9,2.3
186,129.0,65.0,23.2,1.5
186,158.0,55.0,25.2,3.6
177,156.0,65.0,24.0,3.7
176,159.0,72.0,25.3,2.0
184,135.0,58.0,24.0,2.9
177,153.0,74.0,25.1,1.6
185,125.0,54.0,18.7,1.8
198,138.0,66.0,10.0,2.7
164,167.0,62.0,25.0,2.3
166,130.0,58.0,27.4,3.2
195,142.0,57.0,29.8,2.7
178,120.0,71.0,27.5,3.3
199,159.0,69.0,14.8,3.2
186,,63.0,28.5,3.5
194,154.0,74.0,24.0,3.5
177,140.0,68.0,23.6,3.2
186,134.0,68.0,21.8,3.5
161,138.0,60.0,32.2,2.5
196,122.0,51.0,27.6,3.3
169,134.0,54.0,21.4,1.5
162,160.0,52.0,29.4,3.4
194,137.0,73.0,33.8,3.2
179,169.0,71.0,32.2,3.6
192,145.0,74.0,23.5,2.2
167,135.0,53.0,24.5,1.6
182,158.0,70.0,20.2,3.6
183,120.0,68.0,14.5,1.7
167,163.0,58.0,12.1,2.9
185,169.0,56.0,27.3,3.1
189,149.0,63.0,,1.8
194,156.0,74.0,28.9,3.5
175,169.0,74.0,21.7,1.5
168,123.0,70.0,14.8,1.5
173,156.0,72.0,12.0,2.7
194,169.0,70.0,23.5,2.8
187,155.0,74.0,22.1,1.6
197,152.0,56.0,23.2,1.6
180,131.0,55.0,16.2,2.3
175,123.0,66.0,27.9,3.5
179,139.0,59.0,19.7,3.7
180,165.0,70.0,23.3,1.8
175,152.0,72.0,28.9,3.4
172,167.0,70.0,17.2,2.6
182,169.0,64.0,25.5,3.7
179,144.0,74.0,15.5,3.5
199,137.0,74.0,14.1,3.4
170,162.0,74.0,22.7,2.8
168,143.0,52.0,21.0,3.6
177,146.0,74.0,18.0,2.9
194,151.0,59.0,23.4,1.5
166,164.0,73.0,25.2,3.7
194,142.0,63.0,25.8,2.9
163,146.0,74.0,22.4,2.5
180,136.0,74.0,26.0,3.3
162,155.0,72.0,23.4,3.1
194,148.0,55.0,28.8,3.1
187,140.0,53.0,17.6,2.8
189,144.0,67.0,27.2,2.6
190,159.0,61.0,10.7,3.5
175,127.0,73.0,24.7,2.4
,124.0,62.0,26.8,2.4
170,137.0,58.0,23.5,3.7
178,157.0,54.0,26.9,3.4
194,126.0,65.0,18.5,1.6
191,133.0,70.0,27.1,1.5
192,131.0,64.0,26.5,1.5
175,149.0,66.0,25.2,2.0
187,134.0,53.0,16.3,2.6
190,164.0,57.0,22.3,1.5
192,135.0,62.0,16.5,3.7
175,165.0,72.0,14.3,1.5
186,133.0,55.0,16.7,3.4
199,166.0,60.0,24.6,2.7
186,135.0,74.0,19.7,2.6
161,169.0,56.0,22.4,3.4
173,164.0,74.0,25.7,1.5
165,160.0,53.0,23.5,2.1
199,159.0,63.0,24.9,2.4
175,133.0,59.0,23.5,1.5
174,153.0,74.0,16.1,2.6
185,136.0,68.0,29.2,1.5
185,169.0,64.0,27.4,1.6
182,137.0,50.0,,2.4
189,167.0,58.0,29.7,3.5
196,130.0,61.0,25.2,2.2
181,156.0,51.0,30.1,3.5
160,150.0,74.0,20.0,2.6
183,136.0,58.0,30.8,3.4
191,169.0,56.0,23.2,2.8
198,125.0,70.0,15.3,3.6
181,158.0,67.0,32.5,2.0
163,169.0,55.0,24.2,3.0
197,134.0,74.0,30.5,3.3
194,148.0,55.0,21.8,3.2
171,169.0,74.0,16.3,3.6
190,167.0,59.0,26.6,3.2
169,138.0,67.0,32.4,3.0
163,135.0,66.0,15.2,1.6
171,143.0,71.0,17.1,3.5
181,120.0,73.0,29.6,3.5
181,132.0,66.0,23.0,2.4
174,169.0,51.0,29.4,2.0
180,139.0,74.0,24.1,3.4
177,161.0,70.0,23.0,3.4
174,160.0,64.0,15.9,2.5
196,169.0,63.0,34.8,1.5
160,145.0,74.0,24.8,3.6
,137.0,68.0,33.7,3.5
184,169.0,59.0,20.8,2.7
187,169.0,56.0,13.6,3.3
181,149.0,64.0,12.0,2.3
165,145.0,71.0,22.6,3.4
189,136.0,74.0,24.0,1.5
190,132.0,69.0,10.0,2.3
199,123.0,74.0,30.2,3.1
175,165.0,70.0,30.1,3.0
169,151.0,56.0,28.6,2.6
193,137.0,55.0,24.5,2.3
192,169.0,63.0,16.9,3.6
181,152.0,53.0,23.2,3.3
168,141.0,74.0,16.8,2.4
178,169.0,57.0,25.9,3.2
186,121.0,72.0,26.2,
182,140.0,60.0,27.5,1.5
188,131.0,57.0,20.7,1.6
192,138.0,69.0,25.8,2.3
183,,70.0,24.5,3.5
179,144.0,50.0,22.0,1.5
166,144.0,74.0,28.9,3.4
168,146.0,74.0,24.6,3.5
188,122.0,73.0,23.4,1.5
192,139.0,69.0,28.8,3.4
197,167.0,74.0,22.1,2.9
166,131.0,73.0,27.1,3.2
177,126.0,74.0,32.9,3.0
166,156.0,55.0,22.5,1.6
180,128.0,74.0,32.2,1.7
188,164.0,58.0,25.7,1.8
162,143.0,56.0,28.0,3.3
192,142.0,57.0,14.8,3.6
171,128.0,72.0,25.4,3.2
190,169.0,63.0,20.7,2.6
183,165.0,72.0,25.6,1.7
166,160.0,62.0,28.6,1.5
175,169.0,64.0,26.2,1.5
167,139.0,67.0,10.0,1.5
161,160.0,64.0,23.7,3.4
181,130.0,63.0,28.2,2.3
166,167.0,71.0,27.6,1.7
168,140.0,58.0,27.3,3.2
165,142.0,74.0,25.6,3.6
183,120.0,58.0,22.8,1.5
191,132.0,58.0,10.0,3.5
190,122.0,50.0,25.5,2.8
183,151.0,51.0,30.1,3.2
193,152.0,57.0,29.7,2.8
194,127.0,55.0,26.9,3.5
163,135.0,61.0,23.1,3.6
171,164.0,69.0,19.6,2.8
199,139.0,74.0,25.1,2.5
176,156.0,70.0,31.8,1.9
161,169.0,74.0,30.2,3.3
169,163.0,65.0,11.7,2.9
192,132.0,59.0,29.6,3.5
198,140.0,50.0,18.2,3.6
164,161.0,69.0,17.0,3.0
193,135.0,62.0,31.9,3.2
190,153.0,60.0,24.4,2.8
166,133.0,54.0,23.8,2.2
178,137.0,52.0,23.5,3.3
184,131.0,53.0,19.7,2.1
188,144.0,70.0,32.9,3.1
161,158.0,65.0,28.6,3.2
183,167.0,64.0,28.2,2.3
199,129.0,62.0,11.5,2.4
198,136.0,74.0,14.5,3.6
180,149.0,59.0,22.0,3.2
177,150.0,74.0,24.2,3.6
165,135.0,69.0,24.0,1.5
162,145.0,53.0,23.8,1.5
162,169.0,59.0,11.5,1.7
173,144.0,56.0,27.1,3.2
198,149.0,74.0,23.7,1.8
167,129.0,60.0,30.8,3.4
168,125.0,74.0,23.3,3.4
161,154.0,65.0,31.1,3.3
191,150.0,74.0,16.9,1.9
165,168.0,70.0,27.9,3.6
191,150.0,50.0,33.3,1.8
184,128.0,51.0,13.2,1.5
179,133.0,,19.8,2.7
165,157.0,74.0,18.6,2.8
179,169.0,66.0,,2.1
177,,58.0,14.1,3.4
177,163.0,53.0,25.9,2.9
172,165.0,55.0,15.4,3.4
194,152.0,66.0,25.2,1.8
177,151.0,66.0,28.0,1.5
190,157.0,72.0,22.6,2.5
183,148.0,67.0,20.0,3.2
171,130.0,67.0,10.0,2.0
182,159.0,66.0,23.2,2.4
176,161.0,59.0,10.0,3.3
177,136.0,67.0,29.7,3.1
160,146.0,65.0,29.4,3.0
163,139.0,70.0,27.4,3.4
196,151.0,73.0,24.5,3.2
196,135.0,67.0,10.0,2.2
191,155.0,54.0,27.2,2.2
183,141.0,72.0,31.4,2.6
187,141.0,51.0,,2.5
197,151.0,50.0,23.1,3.6
186,140.0,56.0,26.6,2.6
185,141.0,52.0,27.2,1.8
191,161.0,74.0,29.0,3.7
186,145.0,55.0,25.1,3.5
197,137.0,74.0,25.1,2.2
182,161.0,50.0,28.7,3.5
185,169.0,71.0,25.3,2.4
173,145.0,55.0,18.9,2.8
167,122.0,74.0,21.1,3.3
192,,74.0,21.1,2.6
170,169.0,71.0,26.5,1.9
168,139.0,56.0,22.8,2.0
175,169.0,51.0,30.8,3.6
194,164.0,57.0,21.3,3.4
169,168.0,57.0,17.8,2.2
189,132.0,64.0,20.7,2.1
165,169.0,55.0,24.9,1.5
160,163.0,50.0,31.7,3.2
185,137.0,57.0,20.5,3.1
170,140.0,68.0,21.8,3.5
190,168.0,55.0,28.1,3.4
190,169.0,69.0,28.4,3.7
196,160.0,73.0,28.8,3.5
192,138.0,66.0,26.0,2.6
189,120.0,74.0,20.0,1.5
187,157.0,54.0,27.9,2.4
183,154.0,62.0,14.4,1.5
170,159.0,71.0,24.8,3.7
179,163.0,71.0,23.4,3.4
173,131.0,71.0,24.1,1.9
172,132.0,61.0,14.9,2.7
176,132.0,69.0,23.3,2.2
185,140.0,56.0,17.9,3.5
168,160.0,61.0,17.7,2.8
177,134.0,71.0,23.9,1.9
196,138.0,68.0,26.1,3.4
187,162.0,74.0,23.2,2.7
190,127.0,74.0,29.9,1.7
188,131.0,74.0,17.6,2.7
180,131.0,74.0,27.6,1.8
171,138.0,62.0,24.9,2.0
198,162.0,74.0,25.2,2.7
190,123.0,57.0,25.2,3.2
196,143.0,53.0,21.6,2.7
175,152.0,57.0,23.1,1.6
186,156.0,67.0,22.6,2.4
198,157.0,64.0,17.3,3.3
196,133.0,74.0,12.8,2.5
193,169.0,55.0,27.9,3.7
183,149.0,74.0,25.3,2.6
181,120.0,58.0,30.5,1.5
195,141.0,54.0,23.7,1.7
163,132.0,56.0,21.7,2.5
192,140.0,65.0,33.9,3.6
197,139.0,74.0,24.0,1.5
194,128.0,72.0,10.0,3.4
188,169.0,74.0,21.6,3.6
178,153.0,57.0,25.9,3.5
186,168.0,65.0,25.0,1.7
187,131.0,74.0,,3.2
188,126.0,73.0,30.4,3.4
164,139.0,59.0,34.0,2.8
175,142.0,58.0,19.3,2.1
164,124.0,56.0,29.4,3.7
180,133.0,,26.5,1.6
165,135.0,58.0,26.2,3.3
167,137.0,74.0,13.3,2.6
173,167.0,50.0,35.0,3.1
184,133.0,74.0,25.6,2.8
191,169.0,74.0,23.1,2.7
167,158.0,57.0,33.1,2.0
198,169.0,66.0,31.4,1.6
184,165.0,71.0,10.0,3.6
164,139.0,62.0,15.4,
173,164.0,72.0,22.7,1.5
191,127.0,62.0,23.9,1.5
167,152.0,74.0,26.0,1.7
191,162.0,74.0,14.6,1.8
168,164.0,73.0,28.8,2.5
183,157.0,74.0,24.6,3.3
195,169.0,54.0,25.1,2.7
176,166.0,54.0,23.0,3.2
170,120.0,57.0,16.3,2.7
196,148.0,73.0,29.4,3.1
180,143.0,74.0,17.2,2.3
182,133.0,74.0,28.8,1.8
162,153.0,74.0,29.3,1.5
191,155.0,70.0,10.2,1.6
173,169.0,58.0,30.4,1.8
171,136.0,71.0,32.0,3.4
184,141.0,,25.2,3.7
184,124.0,74.0,27.9,3.0
184,141.0,71.0,25.2,1.5
180,169.0,62.0,27.1,3.6
199,153.0,70.0,18.1,3.3
161,130.0,69.0,28.6,1.9
198,135.0,74.0,29.7,1.8
189,136.0,62.0,24.6,3.4
183,130.0,74.0,24.2,1.6
161,145.0,59.0,22.5,2.6
191,161.0,63.0,27.3,3.2
189,165.0,55.0,35.0,3.5
182,158.0,65.0,31.7,2.6
196,141.0,73.0,33.8,3.6
187,149.0,54.0,33.0,3.0
162,126.0,60.0,24.7,2.9
190,135.0,58.0,21.7,2.1
167,133.0,62.0,16.9,3.7
170,165.0,74.0,21.9,2.2
165,140.0,55.0,24.7,2.6
168,,58.0,32.5,3.7
184,155.0,56.0,17.8,2.6
191,169.0,74.0,19.9,3.1
164,158.0,66.0,23.7,3.1
173,132.0,66.0,26.9,3.1
196,148.0,74.0,32.1,2.8
185,144.0,67.0,30.6,2.7
185,133.0,52.0,24.0,3.4
189,134.0,55.0,24.0,1.6
189,142.0,58.0,28.2,3.6
168,162.0,64.0,22.7,2.4
169,135.0,59.0,10.5,1.7
178,158.0,56.0,25.3,2.0
181,168.0,74.0,24.8,2.0
185,155.0,74.0,31.4,3.4
196,164.0,56.0,23.8,3.2
163,169.0,71.0,10.0,1.6
167,129.0,72.0,20.6,1.5
167,130.0,69.0,24.6,2.9
187,155.0,74.0,27.7,1.5
160,134.0,68.0,23.9,1.9
164,169.0,52.0,21.8,1.9
194,162.0,60.0,23.7,2.8
184,168.0,74.0,23.6,3.4
162,160.0,70.0,17.6,3.2
185,133.0,64.0,22.1,1.5
177,157.0,66.0,15.2,2.4
160,157.0,64.0,29.7,1.5
196,141.0,56.0,25.7,2.4
184,135.0,71.0,11.9,3.5
196,132.0,74.0,14.5,3.2
197,153.0,71.0,24.1,3.5
170,139.0,70.0,24.0,1.5
162,148.0,56.0,24.0,1.8
\t182,139.0,68.0,16.7,1.5
176,169.0,64.0,28.5,1.5
172,121.0,56.0,20.9,2.5
197,,74.0,32.0,2.4
196,169.0,53.0,29.8,2.5
172,148.0,60.0,17.3,2.6
183,120.0,63.0,10.0,2.6
160,142.0,52.0,14.2,3.5
184,162.0,65.0,25.2,3.2
198,129.0,66.0,31.7,2.4
166,153.0,59.0,27.9,2.9
184,131.0,54.0,21.5,1.5
192,152.0,58.0,25.6,3.2
190,147.0,50.0,27.6,1.9
193,132.0,59.0,34.9,3.2
176,139.0,68.0,10.0,3.4
187,155.0,58.0,27.8,3.5
178,152.0,50.0,26.5,2.1
165,169.0,74.0,15.1,3.4
172,167.0,57.0,25.4,1.5
163,145.0,54.0,21.4,3.1
181,158.0,71.0,24.3,2.8
168,132.0,74.0,23.9,3.4
199,131.0,74.0,24.1,1.9
194,120.0,68.0,21.4,2.8
168,127.0,68.0,24.1,2.9
160,134.0,51.0,17.0,2.6
178,130.0,69.0,27.4,3.4
172,147.0,72.0,28.5,3.7
174,120.0,51.0,27.6,1.5
181,161.0,57.0,29.9,3.6
165,146.0,74.0,17.8,2.8
189,139.0,70.0,10.0,2.5
196,134.0,74.0,27.4,2.0
192,,58.0,22.9,2.7
196,169.0,74.0,25.8,3.3
168,169.0,55.0,33.0,3.5
191,153.0,74.0,13.6,1.5
179,141.0,62.0,14.2,1.5
160,158.0,61.0,26.6,2.6
169,160.0,67.0,30.9,2.7
194,155.0,68.0,30.6,1.5
166,169.0,69.0,24.9,2.6
199,121.0,69.0,26.5,3.6
191,168.0,62.0,30.0,2.7
163,154.0,58.0,24.1,2.9
190,120.0,53.0,24.7,3.1
183,169.0,59.0,24.0,3.4
182,129.0,54.0,25.1,1.5
198,164.0,64.0,24.5,3.3
187,127.0,69.0,22.7,2.2
182,149.0,64.0,23.8,3.3
160,,64.0,22.1,2.8
166,145.0,55.0,18.8,1.5
166,134.0,50.0,11.2,3.4
164,132.0,50.0,27.7,3.6
176,,64.0,25.1,2.4
,139.0,62.0,23.2,3.3
182,149.0,55.0,23.6,3.4
172,127.0,74.0,26.2,1.5
190,125.0,61.0,26.1,3.1
182,139.0,74.0,26.8,3.1
182,163.0,53.0,29.2,2.7
164,162.0,55.0,25.4,3.3
183,169.0,50.0,,2.2
182,148.0,74.0,28.9,2.5
185,131.0,67.0,23.6,3.3
180,148.0,66.0,13.8,3.4
193,129.0,54.0,20.6,3.5
184,121.0,72.0,23.2,
170,121.0,59.0,18.9,2.6
191,136.0,68.0,31.5,2.8
187,139.0,52.0,27.3,1.5
,153.0,55.0,25.8,1.5
168,162.0,56.0,10.9,2.5
191,134.0,62.0,30.3,3.3
196,143.0,74.0,22.0,2.4
165,144.0,63.0,22.9,3.1
190,123.0,64.0,23.8,3.6
180,129.0,58.0,25.8,3.2
170,142.0,52.0,10.2,2.8
184,121.0,70.0,30.2,1.9
166,165.0,50.0,24.6,3.2
180,142.0,72.0,22.9,1.5
191,152.0,74.0,10.2,3.3
166,168.0,58.0,30.0,3.2
192,169.0,56.0,28.0,3.4
194,161.0,67.0,27.6,2.2
165,169.0,72.0,25.7,3.3
193,122.0,66.0,13.7,3.4
197,163.0,52.0,28.6,1.6
199,157.0,55.0,18.2,3.2
182,152.0,72.0,24.2,3.3
176,124.0,68.0,14.6,3.5
180,137.0,67.0,28.6,1.8
184,140.0,60.0,29.4,1.8
196,169.0,64.0,24.8,3.5
187,136.0,50.0,24.8,3.4
161,169.0,68.0,27.3,3.5
180,120.0,56.0,28.0,3.3
190,154.0,54.0,23.1,3.6
198,142.0,74.0,18.1,3.2
196,123.0,71.0,27.4,3.6
166,135.0,59.0,23.2,3.0
190,161.0,60.0,23.0,3.6
173,129.0,52.0,24.1,1.5
171,164.0,69.0,22.9,3.5
185,159.0,74.0,17.8,1.5
180,149.0,58.0,14.9,2.8
161,156.0,50.0,30.8,3.2
168,120.0,74.0,25.0,3.6
174,136.0,74.0,27.0,3.5
184,169.0,61.0,24.9,3.4
196,165.0,55.0,28.1,3.3
169,,72.0,32.5,3.6
160,146.0,71.0,22.6,2.8
177,169.0,54.0,26.8,3.7
197,125.0,58.0,22.1,3.5
163,125.0,74.0,24.0,2.4
163,139.0,51.0,10.0,2.8
177,160.0,54.0,23.1,1.7
171,149.0,73.0,26.6,3.3
172,123.0,61.0,16.9,2.6
175,169.0,,25.0,2.4
173,162.0,,26.7,2.4
185,153.0,68.0,20.5,1.6
164,169.0,67.0,21.5,3.5
198,167.0,63.0,20.5,1.5
178,161.0,74.0,23.3,1.6
182,169.0,70.0,24.1,3.5
167,158.0,74.0,23.8,2.9
184,147.0,71.0,27.0,2.0
180,155.0,57.0,27.5,1.9
195,163.0,66.0,31.2,1.6
,142.0,74.0,23.7,3.1
171,167.0,69.0,21.8,2.1
161,128.0,64.0,16.6,3.2
199,169.0,56.0,19.7,3.4
192,151.0,63.0,25.1,3.7
189,130.0,63.0,29.8,3.6
184,147.0,55.0,33.1,3.6
192,155.0,56.0,24.6,2.4
164,148.0,74.0,16.3,1.6
170,148.0,65.0,28.9,3.5
164,160.0,74.0,10.0,3.3
176,165.0,74.0,15.6,2.7
192,164.0,73.0,25.5,1.5
169,120.0,52.0,10.0,3.3
162,129.0,65.0,25.8,3.3
181,169.0,63.0,10.0,2.8
170,153.0,57.0,10.0,3.3
165,169.0,71.0,20.8,3.3
190,139.0,57.0,27.3,3.2
196,154.0,61.0,15.0,2.1
161,121.0,74.0,20.3,3.3
192,139.0,57.0,25.2,3.5
188,139.0,58.0,19.2,3.5
199,120.0,74.0,26.5,2.3
179,152.0,52.0,31.1,3.3
186,169.0,55.0,19.4,2.5
168,123.0,67.0,20.8,2.1
180,160.0,72.0,20.6,3.3
167,131.0,74.0,24.9,2.1
192,166.0,56.0,23.3,1.8
176,142.0,56.0,25.6,1.9
176,128.0,74.0,10.0,2.5
195,143.0,72.0,22.5,2.5
171,149.0,74.0,,3.6
164,163.0,73.0,27.1,1.5
160,136.0,62.0,16.8,1.7
184,148.0,69.0,26.2,2.3
180,158.0,71.0,14.1,1.5
173,141.0,68.0,27.0,3.7
163,129.0,68.0,22.7,3.3
176,134.0,74.0,22.0,3.3
162,141.0,55.0,25.2,2.1
199,163.0,59.0,35.0,2.5
181,162.0,69.0,34.6,3.4
166,169.0,50.0,16.7,2.8
170,169.0,57.0,24.8,2.5
197,155.0,61.0,20.7,2.4
174,149.0,70.0,12.5,2.5
199,131.0,63.0,34.8,3.2
171,127.0,70.0,25.6,3.4
161,156.0,74.0,28.9,2.6
162,151.0,74.0,15.7,3.6
176,169.0,53.0,31.1,2.4
193,154.0,70.0,33.9,3.7
165,164.0,71.0,21.5,3.3
183,132.0,74.0,19.5,2.0
161,152.0,50.0,29.1,1.8
184,120.0,55.0,17.7,2.3
185,140.0,54.0,28.4,1.9
192,159.0,57.0,25.3,3.6
163,149.0,68.0,21.0,3.3
167,169.0,64.0,22.5,2.6
162,133.0,69.0,20.2,3.2
196,165.0,58.0,15.9,3.3
170,131.0,62.0,,2.0
161,169.0,72.0,24.9,3.5
184,166.0,50.0,31.3,2.0
177,145.0,59.0,26.6,1.5
172,165.0,69.0,26.1,3.5
,164.0,52.0,24.7,3.2
184,142.0,53.0,24.2,1.5
191,138.0,68.0,35.0,3.2
188,137.0,67.0,16.4,2.0
168,156.0,50.0,28.3,3.6
164,169.0,73.0,28.0,1.6
187,158.0,71.0,24.1,1.7
176,164.0,59.0,28.2,3.2
190,125.0,68.0,21.1,2.7
192,146.0,63.0,15.3,1.7
161,169.0,61.0,25.8,3.0
170,133.0,53.0,30.1,2.8
181,123.0,72.0,23.2,2.4
192,169.0,72.0,27.5,2.8
169,143.0,54.0,28.7,2.0
184,141.0,59.0,27.8,3.2
182,165.0,70.0,20.1,3.5
,153.0,74.0,17.7,3.3
168,169.0,68.0,29.0,3.4
171,166.0,72.0,18.6,2.2
191,123.0,74.0,25.9,3.4
189,169.0,58.0,32.6,2.2
198,143.0,74.0,21.1,2.2
192,152.0,70.0,18.3,3.2
185,129.0,74.0,28.1,2.6
187,140.0,58.0,29.7,3.1
193,128.0,70.0,23.9,2.8
162,141.0,58.0,24.2,1.8
195,130.0,,19.5,2.6
180,120.0,72.0,24.6,3.2
175,154.0,50.0,21.0,3.0
172,148.0,68.0,20.2,1.5
179,140.0,52.0,24.6,2.6
176,139.0,60.0,31.0,2.4
172,159.0,59.0,18.7,2.1
161,168.0,51.0,22.0,3.1
169,160.0,60.0,22.4,3.3
180,128.0,70.0,17.0,3.3
183,155.0,71.0,22.9,1.6
168,169.0,54.0,,2.1
168,127.0,57.0,12.3,3.7
164,140.0,66.0,30.2,3.3
173,,60.0,20.6,1.5
,132.0,56.0,24.2,3.4
184,138.0,68.0,27.1,2.1
180,134.0,63.0,22.1,2.2
184,158.0,50.0,31.6,2.5
167,122.0,66.0,30.6,3.1
169,,72.0,10.0,3.1
171,162.0,62.0,16.6,3.5
168,140.0,56.0,20.5,3.3
192,161.0,57.0,32.1,1.9
182,164.0,56.0,12.6,3.1
194,165.0,52.0,24.3,3.1
195,139.0,74.0,14.9,2.7
171,154.0,67.0,20.8,3.5
180,140.0,61.0,23.5,1.5
181,122.0,50.0,26.3,1.5
187,120.0,74.0,21.4,2.3
168,155.0,55.0,35.0,3.2
198,155.0,54.0,33.2,3.5
182,139.0,71.0,16.3,3.3
182,120.0,70.0,14.6,1.9
180,156.0,74.0,26.2,3.2
172,122.0,74.0,12.8,3.5
185,159.0,70.0,15.4,2.2
,120.0,67.0,24.4,3.7
167,144.0,53.0,19.1,2.0
187,141.0,72.0,21.2,2.8
166,141.0,74.0,24.6,3.4
163,156.0,59.0,21.5,3.4
160,164.0,50.0,32.2,3.6
189,159.0,66.0,27.2,
189,128.0,69.0,24.8,2.1
161,,74.0,23.7,3.3
189,142.0,73.0,23.7,2.3
192,157.0,64.0,10.0,2.8
172,166.0,72.0,32.5,3.0
172,155.0,73.0,26.8,3.3
,160.0,74.0,23.8,3.1
179,157.0,74.0,21.3,1.5
172,123.0,54.0,34.4,3.1
187,169.0,55.0,25.3,2.7
182,129.0,55.0,32.2,2.4
191,134.0,72.0,23.4,3.3
197,135.0,59.0,25.9,3.2
183,122.0,50.0,21.9,3.3
195,164.0,51.0,22.0,2.6
168,168.0,69.0,17.3,2.6
172,128.0,74.0,26.7,2.0
168,160.0,70.0,35.0,3.4
181,124.0,71.0,26.5,3.4
182,157.0,68.0,26.7,3.1
177,169.0,72.0,26.4,3.6
170,169.0,72.0,24.7,3.4
176,127.0,74.0,10.0,2.1
186,136.0,73.0,28.6,2.0
191,157.0,63.0,26.3,2.2
183,139.0,73.0,26.0,1.5
193,169.0,65.0,31.1,3.5
189,169.0,60.0,17.9,2.4
182,155.0,68.0,29.8,2.1
182,158.0,74.0,23.1,3.1
173,168.0,64.0,35.0,3.4
175,137.0,51.0,32.2,3.6
162,146.0,59.0,24.1,1.5
163,169.0,56.0,27.6,2.4
185,131.0,65.0,18.0,3.4
187,129.0,54.0,25.0,1.6
190,120.0,64.0,26.8,3.1
164,158.0,58.0,30.0,2.3
160,144.0,73.0,17.4,3.5
166,152.0,54.0,21.3,2.5
179,140.0,56.0,22.1,3.6
171,,51.0,30.0,3.7
195,158.0,61.0,31.1,2.5
194,149.0,72.0,19.4,2.7
164,167.0,59.0,22.3,3.6
167,137.0,53.0,23.7,2.2
183,168.0,73.0,30.8,3.2
160,146.0,67.0,26.4,
162,147.0,68.0,25.2,2.4
198,132.0,63.0,21.7,3.4
164,147.0,50.0,27.7,3.7
167,127.0,70.0,25.1,2.6
171,137.0,54.0,25.2,2.3
182,134.0,50.0,31.5,3.4
166,169.0,59.0,19.7,1.6
192,149.0,57.0,25.5,1.9
168,144.0,55.0,16.0,2.5
164,136.0,67.0,28.2,3.4
188,124.0,74.0,22.6,1.5
176,131.0,74.0,16.3,1.9
170,150.0,74.0,10.0,2.2
163,124.0,68.0,13.0,3.1
164,144.0,65.0,17.4,1.5
172,161.0,60.0,25.0,3.3
182,153.0,68.0,20.2,1.5
165,150.0,73.0,24.1,3.3
168,164.0,74.0,27.1,3.4
186,163.0,68.0,22.6,1.5
194,160.0,74.0,22.1,2.4
161,126.0,55.0,23.6,2.9
167,158.0,64.0,,1.9
182,125.0,58.0,21.1,1.5
192,121.0,72.0,26.5,1.5
177,120.0,74.0,23.4,3.6
171,120.0,68.0,27.1,3.2
167,138.0,71.0,23.6,2.6
166,127.0,59.0,28.1,1.9
196,148.0,60.0,11.3,1.5
183,135.0,50.0,27.3,2.9
168,156.0,69.0,15.7,3.3
196,163.0,54.0,30.7,1.6
185,169.0,59.0,18.9,3.4
168,131.0,74.0,20.3,3.7
177,129.0,70.0,26.6,
192,169.0,50.0,23.2,2.3
195,146.0,73.0,14.1,2.7
173,129.0,74.0,25.8,2.4
166,154.0,71.0,20.1,2.8
194,136.0,51.0,27.0,1.5
192,125.0,50.0,30.6,2.3
167,122.0,70.0,24.9,2.7
177,156.0,52.0,22.3,3.5
187,152.0,58.0,29.3,3.2
188,151.0,58.0,30.7,3.6
199,160.0,56.0,26.4,2.4
185,164.0,73.0,27.0,1.5
166,149.0,69.0,22.2,3.0
185,130.0,60.0,22.2,1.9
185,124.0,70.0,24.0,2.0
186,168.0,56.0,27.6,3.6
175,140.0,69.0,24.7,3.5
174,153.0,74.0,10.0,2.6
192,141.0,59.0,,3.2
178,140.0,51.0,22.7,3.4
195,154.0,59.0,29.5,2.8
175,127.0,53.0,31.9,3.6
164,150.0,54.0,25.1,3.4
199,151.0,60.0,15.8,3.4
182,169.0,57.0,31.5,2.2
176,129.0,53.0,23.9,1.7
188,167.0,74.0,13.0,2.3
183,138.0,71.0,21.2,2.0
183,156.0,67.0,32.5,3.3
177,120.0,70.0,26.7,2.7
181,126.0,68.0,27.5,3.1
188,159.0,53.0,30.3,3.3
190,133.0,56.0,22.1,3.2
194,127.0,74.0,19.4,3.6
175,129.0,66.0,20.0,3.6
167,145.0,62.0,18.6,3.3
181,138.0,70.0,25.0,1.5
174,129.0,68.0,31.0,2.0
168,160.0,74.0,23.8,3.3
199,129.0,74.0,11.9,3.1
187,127.0,54.0,27.3,2.9
169,138.0,72.0,31.2,2.9
193,156.0,59.0,24.4,2.3
182,160.0,60.0,14.8,3.5
194,141.0,59.0,32.9,2.4
170,151.0,66.0,26.9,2.9
191,168.0,74.0,24.5,2.7
191,146.0,54.0,25.0,3.2
175,152.0,60.0,15.4,2.7
192,120.0,55.0,22.4,1.5
187,169.0,50.0,27.6,1.6
187,165.0,70.0,26.7,3.7
194,142.0,62.0,33.3,3.7
