age,gender,weight (kg),height (m),bmi
25.0,Male,40.8,1.69,22.31
59.0,Male,82.0,1.51,24.72
29.0,Female,60.9,1.92,43.3
27.0,Male,55.0,1.68,18.54
23.0,Female,59.0,1.62,17.71
34.0,Female,80.0,2.0,14.62
24.0,Male,44.3,1.65,15.86
24.0,Male,63.6,1.74,25.85
29.0,Female,50.2,1.89,15.27
58.0,Male,43.6,1.67,28.29
38.0,Male,60.5,1.72,25.58
34.0,Male,92.4,1.79,12.85
39.0,Female,76.7,1.86,17.75
38.0,Male,,1.7,14.96
18.0,Male,71.9,1.88,15.96
25.0,Female,59.2,1.84,13.81
27.0,Male,57.4,1.89,16.0
33.0,Male,69.5,1.75,21.58
23.0,Male,47.4,1.96,21.34
33.0,Male,76.5,1.75,32.82
18.0,Female,53.5,1.68,23.57
25.0,Female,83.1,1.72,12.32
47.0,Female,70.4,1.93,12.32
39.0,Female,50.3,1.94,14.72
28.0,Female,65.3,1.68,25.26
20.0,Male,66.2,1.85,12.32
19.0,Female,51.4,1.84,16.95
58.0,Female,78.3,1.52,25.33
31.0,Female,79.4,1.56,26.3
25.0,Male,72.5,1.78,12.32
21.0,Male,92.1,1.77,17.16
55.0,Female,72.6,1.55,19.76
40.0,Male,76.7,1.68,23.76
39.0,Male,91.0,1.73,22.08
26.0,Female,78.3,1.58,28.61
26.0,Female,54.2,1.64,19.39
42.0,Male,108.5,1.85,15.62
18.0,Male,83.2,1.62,18.69
19.0,Female,64.8,1.6,21.61
25.0,Female,45.5,1.58,15.04
42.0,Female,59.0,1.89,17.68
43.0,Female,89.2,1.73,25.4
47.0,Female,108.3,1.67,13.44
30.0,Male,87.9,1.62,34.99
48.0,Female,45.9,1.94,12.32
18.0,Male,107.0,1.75,27.94
39.0,Male,40.7,1.84,22.28
18.0,Male,65.3,1.6,18.84
50.0,Female,88.5,2.0,17.26
27.0,Female,62.5,1.67,26.22
43.0,Female,79.0,1.73,19.64
27.0,Female,40.0,1.85,22.49
19.0,Male,51.8,1.6,16.69
38.0,Female,89.3,1.58,19.02
27.0,,80.0,1.86,19.41
33.0,Male,40.0,1.75,17.77
50.0,Female,102.6,1.62,18.48
18.0,Male,69.2,1.62,33.3
19.0,Male,75.3,1.67,23.17
45.0,Male,45.9,1.51,12.32
59.0,Male,66.9,1.57,20.4
42.0,Female,50.3,1.69,
32.0,Male,68.7,1.77,17.39
37.0,Male,44.2,1.5,20.62
18.0,Female,46.0,1.79,18.0
18.0,Male,74.8,1.76,23.47
54.0,Male,46.3,1.62,19.44
24.0,Male,87.1,1.9,36.55
43.0,Female,40.0,1.89,12.32
18.0,Female,49.3,1.71,14.06
18.0,Female,67.9,1.81,12.32
33.0,Male,49.7,1.82,21.87
49.0,Male,88.4,1.75,12.42
48.0,Male,45.8,,19.27
19.0,Male,129.9,1.82,17.37
35.0,Male,40.3,1.79,13.37
34.0,Male,72.1,1.78,12.32
50.0,Female,103.8,1.54,12.32
18.0,Male,41.0,1.97,12.32
36.0,Female,85.1,1.73,13.22
18.0,Male,81.0,1.64,13.42
47.0,Female,74.1,1.87,21.54
32.0,,72.1,1.71,17.91
45.0,Female,47.9,1.71,20.37
25.0,Male,113.3,1.75,21.36
23.0,Male,56.8,1.83,
23.0,Female,78.2,1.9,29.89
25.0,Male,40.0,1.68,14.27
59.0,Male,40.0,1.78,19.22
23.0,Female,69.2,1.73,21.96
48.0,Female,91.3,1.58,19.62
46.0,Male,68.2,1.88,32.75
18.0,Female,45.1,1.86,18.99
20.0,Male,70.5,1.65,12.32
18.0,Female,54.2,1.68,15.66
18.0,Female,83.6,1.86,24.77
37.0,Female,58.0,1.6,22.2
27.0,Female,45.6,,26.74
52.0,Female,40.0,1.91,23.62
30.0,Female,40.0,1.62,14.53
23.0,Female,83.5,1.5,12.32
22.0,Female,81.9,1.8,28.26
40.0,Male,45.2,1.74,18.36
49.0,Male,60.2,1.62,16.85
51.0,,47.3,1.74,24.75
28.0,Male,69.3,1.61,32.49
33.0,Female,40.0,1.79,15.69
48.0,Male,87.3,2.0,18.2
49.0,Male,40.0,1.77,25.41
26.0,Female,55.4,2.0,19.35
18.0,Male,50.9,1.73,17.61
55.0,Female,59.9,1.53,31.33
44.0,Male,66.8,1.97,23.14
50.0,Male,97.0,1.65,27.51
37.0,Male,75.8,1.63,14.0
21.0,Female,51.6,1.5,24.7
27.0,Female,55.4,1.88,14.33
23.0,Male,72.9,1.51,40.08
30.0,Female,80.2,1.91,28.49
,Male,97.2,1.73,16.19
45.0,Male,121.2,1.67,30.69
36.0,Female,100.2,1.93,16.49
54.0,Male,56.4,1.55,20.19
45.0,Male,84.1,1.71,38.83
51.0,Male,52.0,1.92,14.05
25.0,Male,70.7,1.7,18.29
52.0,Female,50.8,1.8,16.16
28.0,,48.7,1.6,21.98
24.0,,51.3,1.69,21.88
42.0,Female,77.0,1.63,15.93
31.0,Female,50.1,1.69,22.3
45.0,Female,99.3,1.93,33.26
18.0,Male,89.2,1.88,13.63
18.0,Female,70.8,1.96,12.32
50.0,Male,59.1,1.74,24.07
46.0,Female,67.5,1.76,17.39
46.0,Male,91.4,1.71,
27.0,Female,41.4,1.69,16.26
24.0,Female,80.0,1.59,14.62
24.0,Male,95.5,1.57,26.3
18.0,Male,66.9,1.76,16.52
18.0,Male,82.8,1.5,19.41
26.0,Male,79.7,1.64,26.9
18.0,Female,80.4,1.79,15.03
33.0,Female,71.8,1.51,12.97
35.0,Male,73.4,1.57,25.05
54.0,Female,45.8,1.62,17.99
44.0,Female,106.8,1.65,25.4
19.0,Male,59.8,1.7,22.56
45.0,Female,88.4,1.5,28.39
44.0,Male,52.5,1.65,16.41
58.0,Male,56.5,1.76,28.26
18.0,Male,49.9,1.74,17.53
30.0,,62.3,1.82,22.26
18.0,Female,76.1,1.64,33.24
18.0,Female,40.0,1.74,24.44
18.0,Male,91.1,1.7,18.24
28.0,Female,67.1,1.9,12.32
18.0,Female,53.9,1.69,15.23
34.0,Female,79.3,1.65,24.84
18.0,Female,40.0,1.88,14.1
35.0,Male,75.7,1.74,12.47
29.0,Male,82.5,1.79,34.85
19.0,Male,40.0,1.84,16.34
20.0,Female,73.0,1.59,15.01
23.0,Female,56.5,1.97,13.2
33.0,Male,78.7,1.61,19.47
27.0,Male,75.4,1.58,15.63
48.0,Male,59.6,1.78,12.32
29.0,Female,57.2,1.84,29.68
39.0,Female,74.3,1.63,20.29
46.0,Male,64.4,1.82,28.07
42.0,Male,,,22.4
54.0,Male,63.8,1.92,26.75
21.0,Female,45.1,1.87,19.64
27.0,Male,63.7,1.86,18.88
30.0,Female,,1.81,14.43
58.0,,59.0,1.78,22.67
20.0,Male,57.1,1.66,17.57
43.0,Male,68.8,1.79,14.27
26.0,Female,62.9,1.69,12.32
55.0,Female,98.6,1.6,14.29
25.0,Female,102.8,2.0,14.05
36.0,Male,45.8,1.59,30.03
53.0,Female,47.5,1.66,32.14
52.0,Male,88.0,1.87,27.54
43.0,Male,76.3,1.66,28.19
31.0,Female,85.9,1.7,12.78
28.0,Male,93.7,1.77,23.62
26.0,Male,83.6,1.79,27.91
38.0,Male,101.4,2.0,38.99
36.0,,77.6,1.6,12.44
28.0,,44.7,1.68,17.59
40.0,Male,79.9,1.51,14.09
45.0,Female,70.2,1.82,13.6
40.0,Female,44.2,1.7,24.1
49.0,Male,90.6,1.78,15.66
40.0,Female,56.8,1.54,12.32
51.0,Female,48.7,1.5,12.32
41.0,Female,72.3,1.66,23.85
43.0,Female,68.0,1.78,17.25
44.0,Male,46.7,1.81,23.21
30.0,Male,59.4,1.87,23.2
18.0,Female,75.9,1.7,24.94
47.0,Female,45.1,1.73,14.58
25.0,Female,64.6,1.51,17.74
18.0,Female,68.7,1.6,33.26
45.0,Female,61.1,1.74,16.37
47.0,Female,70.1,1.71,19.95
28.0,Male,50.3,1.81,26.47
18.0,Female,66.8,1.62,22.63
28.0,Male,59.9,1.7,33.85
41.0,Male,52.8,1.68,12.32
51.0,Female,62.7,1.73,33.87
34.0,Male,76.4,1.84,21.69
52.0,Male,54.7,1.93,34.32
18.0,Female,49.0,1.72,17.26
30.0,Male,46.3,1.59,17.74
35.0,Female,68.2,1.7,31.92
36.0,Female,85.1,1.67,20.8
,Female,59.8,2.0,14.17
56.0,Female,63.7,1.74,14.53
34.0,Male,40.0,1.68,17.03
56.0,Male,64.7,1.78,13.72
28.0,Male,56.5,1.73,13.82
18.0,Male,56.9,1.74,19.82
18.0,Male,115.8,1.68,20.56
45.0,Male,46.0,1.76,28.92
47.0,Female,46.9,1.91,14.88
49.0,Male,110.8,1.62,21.26
19.0,Male,97.4,1.75,28.45
42.0,Male,117.7,1.71,26.89
24.0,,91.2,1.66,21.76
18.0,Female,100.3,1.83,
28.0,Male,51.1,1.66,19.67
18.0,Male,79.0,1.64,30.73
44.0,Female,65.0,1.57,32.75
24.0,Male,86.3,1.71,18.7
39.0,Male,43.3,1.68,17.06
18.0,Male,50.6,2.0,20.88
52.0,Male,40.0,1.71,17.27
18.0,Female,59.9,1.76,18.69
56.0,Female,59.1,2.0,16.29
24.0,,62.8,1.68,19.91
59.0,Female,72.8,1.65,14.86
29.0,Female,65.0,1.77,23.25
18.0,Female,74.2,1.85,
46.0,Female,61.2,1.79,17.28
27.0,Female,63.3,1.9,22.45
40.0,Female,95.3,1.86,22.23
42.0,,73.6,1.73,
35.0,Male,124.8,1.75,28.03
18.0,Male,75.4,1.97,15.43
46.0,Male,49.8,1.91,12.84
18.0,Male,61.0,1.67,17.17
47.0,Male,100.2,1.67,26.79
33.0,Female,73.0,1.69,23.54
30.0,Male,88.2,1.72,15.42
34.0,Female,61.7,1.81,20.6
30.0,Male,120.0,1.79,21.36
30.0,Male,45.4,1.73,17.33
30.0,Male,40.0,1.87,12.87
22.0,Male,129.9,1.62,12.32
53.0,Female,71.9,2.0,12.32
44.0,Female,115.6,1.5,18.41
26.0,Female,64.7,1.61,24.23
52.0,Male,58.2,1.71,21.89
49.0,Male,53.8,1.81,19.34
26.0,Female,63.6,1.77,22.45
23.0,Male,62.3,1.68,12.98
26.0,Male,55.9,1.61,21.42
41.0,Female,65.7,1.57,12.32
59.0,Female,65.5,1.78,28.6
39.0,Female,90.5,,20.06
28.0,Female,40.0,1.81,37.33
48.0,Male,40.0,1.67,12.32
54.0,Female,76.8,1.79,20.66
26.0,Female,92.4,1.59,22.09
28.0,Male,88.5,1.64,26.98
52.0,Female,54.3,1.73,22.75
23.0,Male,71.2,1.56,13.25
26.0,Female,64.1,1.68,39.84
18.0,Female,45.3,1.75,26.5
21.0,Female,76.0,1.72,12.32
41.0,Female,40.0,1.69,19.94
30.0,Male,129.9,1.78,30.83
27.0,Female,62.9,1.73,28.52
28.0,Male,69.3,1.99,18.72
38.0,Male,60.6,1.81,13.74
59.0,Female,40.0,1.65,22.78
33.0,Female,56.6,2.0,37.62
27.0,Female,75.2,1.96,21.52
46.0,Female,78.4,1.55,23.63
25.0,Male,42.2,1.82,29.27
29.0,Female,57.0,1.7,12.32
32.0,Female,40.0,1.89,18.0
49.0,Male,128.5,1.96,22.89
28.0,Female,45.0,1.8,12.32
18.0,Female,78.5,1.81,15.7
50.0,Female,49.4,1.91,17.89
27.0,Female,50.3,1.66,39.72
40.0,Female,61.0,1.88,12.32
59.0,Male,79.3,1.79,16.0
57.0,Female,40.0,1.62,21.11
18.0,Male,50.0,1.69,28.53
18.0,Male,48.6,1.95,12.32
26.0,Male,91.3,1.63,19.46
50.0,Female,102.2,1.65,17.77
48.0,Female,40.0,1.75,12.32
41.0,Female,69.6,1.63,32.29
23.0,Female,56.8,1.75,12.32
50.0,Female,99.4,1.7,16.45
18.0,Male,51.4,1.83,16.63
22.0,Male,96.9,1.8,24.29
26.0,Female,64.3,1.7,39.07
42.0,Female,40.0,1.72,19.15
37.0,Male,40.0,1.92,15.24
30.0,Female,85.4,1.71,20.15
33.0,Female,72.9,1.58,18.97
25.0,Female,48.8,1.84,16.6
18.0,Male,54.9,1.74,18.89
38.0,Male,53.6,1.7,12.32
47.0,Male,77.9,1.76,15.38
35.0,Male,68.5,1.73,12.32
59.0,,,1.56,18.27
28.0,,77.2,1.86,17.34
32.0,Female,113.1,1.73,12.32
27.0,Female,53.7,1.75,16.24
25.0,Male,61.3,1.77,17.69
38.0,Male,41.1,1.67,14.26
36.0,Male,78.2,1.63,21.82
35.0,Male,94.6,1.69,22.21
28.0,Female,68.8,1.73,12.38
27.0,Female,43.4,1.71,25.15
37.0,Female,40.0,1.81,
40.0,Female,40.0,1.74,12.32
24.0,Male,70.3,1.87,14.32
18.0,Male,64.7,1.67,19.63
59.0,Male,61.0,1.62,21.37
37.0,Female,44.2,1.61,14.92
18.0,Male,77.8,1.76,16.37
53.0,Male,53.5,1.71,33.56
44.0,Male,63.7,1.62,12.32
28.0,Female,64.1,1.82,13.85
,Female,54.5,1.67,15.16
30.0,Female,40.0,1.93,12.32
25.0,Female,68.8,1.73,12.32
18.0,,50.6,1.74,17.25
53.0,Female,68.9,1.6,27.19
25.0,Male,100.4,1.76,17.45
58.0,Female,105.7,1.65,13.66
18.0,Female,61.9,1.58,18.23
50.0,Female,60.4,1.72,20.81
23.0,Male,56.2,1.58,
18.0,Female,42.6,1.56,12.46
59.0,Female,97.4,1.57,27.67
32.0,Male,58.7,,12.87
21.0,Male,46.4,2.0,23.07
32.0,Male,57.4,1.66,
38.0,Male,87.9,1.75,12.32
40.0,Male,87.8,1.64,17.55
52.0,Female,62.4,1.91,15.2
20.0,Female,65.7,1.81,25.06
23.0,Female,51.4,2.0,15.31
34.0,Female,75.2,2.0,16.39
34.0,Male,77.7,1.81,12.32
23.0,Female,40.0,1.89,17.09
43.0,Female,80.5,1.68,25.52
18.0,Male,40.0,1.78,21.42
28.0,Female,109.4,1.58,21.16
57.0,Female,40.0,1.58,14.94
18.0,Male,40.0,1.8,12.32
44.0,Female,79.5,1.73,25.45
21.0,Female,68.5,1.61,18.59
39.0,,65.6,1.75,23.89
44.0,Female,87.5,1.88,21.72
56.0,Male,54.5,1.76,27.02
33.0,Female,55.4,1.6,20.82
32.0,Male,85.7,1.53,14.19
34.0,Female,58.2,1.7,12.46
30.0,Male,72.5,1.91,26.6
26.0,,77.2,1.64,30.85
20.0,Male,90.3,1.68,31.04
42.0,Female,95.2,1.76,16.06
26.0,Male,75.0,1.91,21.87
26.0,Male,61.5,1.51,21.29
28.0,Female,101.9,1.5,15.07
54.0,Female,41.4,1.6,20.92
18.0,Male,71.3,1.78,34.18
42.0,Male,46.2,1.72,19.47
24.0,Male,64.0,1.83,31.31
54.0,Male,47.2,1.75,20.0
53.0,Male,95.5,1.52,12.32
33.0,Female,40.0,1.79,13.81
52.0,Female,81.1,1.74,12.32
51.0,Female,72.1,,12.66
47.0,Male,100.5,1.56,
55.0,Female,129.9,1.89,20.1
28.0,Male,75.7,1.85,37.5
18.0,Female,69.0,1.66,18.23
19.0,Male,72.5,1.73,29.87
30.0,,50.8,1.81,22.58
40.0,Female,68.2,1.5,12.45
49.0,Female,105.0,1.63,18.89
57.0,Female,129.9,1.88,
27.0,Female,61.1,1.59,12.32
27.0,Male,,1.81,16.6
50.0,Male,62.5,1.67,28.47
59.0,Male,62.4,1.71,19.22
26.0,Male,72.4,1.68,21.68
55.0,Female,93.1,1.82,20.51
48.0,Female,122.3,1.71,18.9
29.0,Female,70.8,1.85,15.46
52.0,Male,51.5,1.6,12.32
18.0,Female,57.1,1.61,19.32
36.0,Female,64.4,1.97,23.33
52.0,Male,63.0,1.72,34.06
29.0,Male,77.2,1.89,19.23
18.0,Female,40.0,1.66,22.99
30.0,Female,76.3,2.0,17.54
29.0,Female,71.2,1.8,31.75
55.0,Male,104.9,1.56,12.68
34.0,Female,102.1,1.53,38.34
31.0,Female,63.6,1.57,13.15
26.0,Male,68.6,1.7,18.29
33.0,Male,46.0,1.71,14.68
39.0,Female,88.6,1.8,
36.0,Male,79.7,1.75,25.28
33.0,Female,108.7,1.75,16.46
45.0,Female,61.4,1.76,21.75
21.0,Female,69.2,1.87,14.59
52.0,Male,67.4,1.72,15.39
29.0,Female,40.0,1.64,14.89
47.0,Female,46.0,1.58,15.45
34.0,Male,89.1,1.78,20.61
57.0,Male,70.4,1.72,22.21
24.0,Male,65.7,1.84,16.06
26.0,Male,82.2,1.69,18.01
32.0,,52.2,1.73,21.27
54.0,Male,128.7,1.91,23.32
18.0,Female,,1.64,20.03
18.0,Female,110.3,1.76,16.38
54.0,Male,42.7,1.72,19.11
35.0,Female,98.0,1.59,18.32
37.0,Female,94.5,1.84,12.32
30.0,Female,57.6,1.66,30.42
31.0,Male,40.0,1.74,20.16
28.0,Male,40.3,1.69,20.42
53.0,Male,60.8,1.66,12.32
56.0,Male,72.0,1.77,23.34
44.0,Male,94.4,1.75,12.32
38.0,Male,71.0,1.84,21.97
34.0,Female,77.9,1.87,15.67
48.0,Male,52.6,1.63,14.53
48.0,Female,62.9,1.67,24.26
33.0,Male,59.6,1.6,21.54
46.0,Female,50.0,1.5,16.09
32.0,Female,104.3,1.83,16.99
36.0,Female,61.2,1.93,12.32
36.0,Female,82.5,1.66,21.01
57.0,Female,58.3,1.73,19.23
45.0,Male,61.6,1.95,30.72
44.0,Male,64.2,1.7,15.79
31.0,Male,53.0,1.83,22.89
50.0,Female,69.6,1.9,29.91
38.0,Female,81.1,1.92,17.99
49.0,Female,65.7,1.77,23.0
21.0,Male,81.8,1.83,22.27
28.0,Female,91.2,1.77,18.88
52.0,Female,98.5,1.96,35.08
22.0,Male,88.9,1.6,32.24
43.0,Male,88.5,1.72,28.7
46.0,Male,85.9,1.7,21.8
18.0,Male,56.5,1.86,13.7
43.0,Female,65.2,1.97,17.03
18.0,Male,71.9,1.54,24.65
44.0,Male,66.8,1.72,22.21
55.0,Female,46.3,1.7,32.94
36.0,Male,93.2,1.63,24.94
57.0,Male,72.4,1.65,28.3
41.0,Male,70.7,1.81,23.32
52.0,Female,45.0,1.75,38.8
18.0,Female,74.8,1.83,15.29
31.0,Female,61.1,1.69,19.83
34.0,Female,44.3,1.76,16.48
20.0,Female,96.2,1.59,21.72
47.0,Male,69.7,1.83,20.78
33.0,Male,41.9,1.59,14.53
47.0,Female,52.9,1.67,30.5
58.0,Male,94.6,1.57,22.94
47.0,Male,70.5,1.67,46.78
27.0,Female,40.0,1.76,31.97
51.0,Male,51.6,1.83,24.12
18.0,Female,83.3,1.59,31.83
20.0,Male,67.7,1.84,19.76
43.0,Male,57.8,1.78,14.84
45.0,Male,59.0,1.87,31.55
29.0,Female,61.5,1.88,23.84
18.0,Female,40.0,1.75,17.62
37.0,Male,79.6,1.68,23.26
26.0,Female,68.6,1.75,20.02
49.0,Female,77.9,1.75,14.38
23.0,Female,40.9,1.75,12.32
18.0,Male,68.7,1.77,17.0
23.0,Male,114.9,1.61,22.67
47.0,Male,65.6,1.77,14.47
20.0,Female,90.9,1.69,16.23
40.0,Male,61.0,1.89,23.16
18.0,Male,66.8,1.66,12.56
56.0,Male,42.6,1.61,23.68
56.0,Female,88.8,1.7,12.32
34.0,Female,83.2,1.64,14.97
38.0,Female,99.1,1.5,24.56
43.0,Male,77.8,1.7,16.55
18.0,Male,47.8,1.85,12.32
24.0,Male,40.0,1.82,17.95
35.0,Female,91.0,1.55,16.0
21.0,Male,86.3,1.74,22.21
26.0,Male,64.6,1.82,19.63
40.0,Female,49.6,1.7,12.71
23.0,Female,59.6,1.81,12.32
46.0,Female,53.7,1.5,22.71
55.0,Female,58.9,1.56,30.52
31.0,Male,79.4,1.58,12.32
26.0,Male,83.1,1.52,20.05
31.0,Female,61.7,1.52,12.32
27.0,Male,66.6,1.7,13.51
45.0,Female,106.3,1.84,30.72
23.0,Female,73.2,1.58,24.85
48.0,Female,69.9,1.82,23.63
30.0,Female,62.3,1.53,34.48
48.0,Male,83.0,1.55,22.88
35.0,Male,75.4,1.64,30.23
30.0,Female,98.3,1.84,16.15
38.0,Female,46.5,1.65,12.32
44.0,Male,61.6,1.65,15.25
31.0,Female,64.0,1.85,14.26
18.0,Male,59.1,1.69,17.36
24.0,Female,45.1,1.6,22.88
18.0,Male,49.1,1.68,15.28
18.0,,82.7,1.79,12.89
33.0,Male,85.0,1.73,13.34
21.0,Female,77.9,1.8,19.98
20.0,Male,40.0,1.52,25.64
59.0,Male,44.8,1.67,12.32
51.0,Female,66.4,1.77,14.27
50.0,Male,40.0,2.0,16.67
42.0,Male,96.2,1.63,25.15
45.0,Female,54.0,1.86,16.72
22.0,Male,71.1,1.68,16.09
47.0,Female,48.6,1.55,27.31
34.0,Female,100.1,1.97,22.68
51.0,Female,53.7,1.72,14.41
27.0,Male,83.5,1.67,18.45
18.0,Male,52.4,1.74,13.4
48.0,Male,89.5,1.61,12.32
25.0,Female,58.2,1.64,19.05
51.0,Male,126.0,1.74,22.63
58.0,Female,57.4,1.62,25.02
32.0,Female,52.3,1.59,22.56
47.0,,40.0,1.85,19.04
55.0,Female,129.6,1.84,18.38
33.0,Female,72.3,1.8,12.32
28.0,Male,64.1,1.55,18.43
34.0,Male,66.7,1.55,12.32
35.0,Male,44.9,1.92,17.33
36.0,Female,90.0,1.69,13.72
27.0,Male,77.7,1.76,23.19
18.0,Male,100.0,1.73,12.32
52.0,Male,83.4,1.52,15.21
32.0,Female,46.5,1.83,14.63
37.0,Female,81.1,1.78,12.51
31.0,Male,50.7,1.86,21.13
23.0,Female,55.4,1.8,18.71
23.0,Female,40.0,1.8,16.37
25.0,Female,76.2,1.87,17.02
52.0,Male,84.5,1.75,18.25
59.0,Male,40.0,2.0,43.74
37.0,,40.0,1.92,23.28
42.0,Female,55.6,1.63,32.64
29.0,Male,73.6,1.82,30.41
29.0,Female,50.8,1.89,22.37
27.0,Male,72.5,1.88,27.76
22.0,Male,128.4,,13.01
41.0,Male,74.7,1.84,14.71
21.0,Female,94.4,1.69,14.52
52.0,Male,57.5,1.87,12.32
32.0,Male,51.1,1.86,21.49
30.0,Female,88.8,1.69,19.29
31.0,Female,,1.54,12.32
49.0,Female,80.0,2.0,29.6
23.0,Female,52.6,1.78,21.08
18.0,Male,57.5,1.74,12.32
52.0,Female,45.1,1.65,29.89
45.0,Male,98.7,1.77,18.18
51.0,Male,63.0,1.78,15.95
34.0,Female,101.5,1.57,46.11
18.0,Female,89.8,1.66,16.69
42.0,Male,43.5,1.56,28.64
28.0,Female,121.1,1.75,26.5
18.0,Male,46.3,2.0,17.38
35.0,Male,40.0,1.71,27.14
56.0,Female,64.2,1.79,12.32
18.0,Female,56.0,1.82,15.72
45.0,Male,43.8,,15.83
32.0,Female,90.5,1.63,12.99
42.0,Female,40.0,1.81,23.25
54.0,Male,72.6,1.56,31.41
18.0,Male,40.0,1.58,28.07
34.0,Female,89.7,1.78,39.54
21.0,Female,59.7,1.65,17.55
18.0,Male,42.0,1.82,29.09
18.0,Male,57.9,2.0,18.31
49.0,,50.2,1.7,13.34
18.0,Female,40.0,1.8,14.93
18.0,Female,70.9,1.87,15.74
26.0,Male,44.0,1.6,15.5
31.0,Female,46.9,1.75,12.48
49.0,Male,47.5,1.79,13.47
38.0,Male,69.0,1.82,20.05
18.0,Female,59.1,2.0,13.32
53.0,Female,40.0,1.66,22.65
18.0,Female,74.6,1.71,18.68
35.0,Male,98.6,1.55,23.47
29.0,Female,58.4,1.61,26.13
35.0,Female,76.1,1.81,26.86
38.0,Male,93.7,1.66,13.87
42.0,Female,88.6,2.0,18.3
18.0,Male,49.9,1.77,24.35
42.0,Female,99.9,1.6,15.78
26.0,Female,58.6,1.78,44.77
36.0,Male,57.4,1.58,20.91
47.0,Male,48.1,1.71,12.32
30.0,Male,60.1,1.93,24.29
23.0,Female,88.0,2.0,31.33
39.0,Female,62.5,1.74,17.6
38.0,Female,69.4,2.0,14.99
20.0,Female,69.3,1.75,25.22
18.0,Male,52.6,1.76,30.92
39.0,Female,65.6,1.7,14.83
45.0,Male,71.4,,15.53
22.0,Male,80.6,1.71,12.32
57.0,Female,43.5,2.0,23.74
25.0,Female,72.6,1.7,16.45
18.0,Male,87.5,1.76,21.79
50.0,Male,46.8,1.77,21.83
27.0,Male,42.5,1.61,
43.0,Male,83.5,1.96,24.03
18.0,Female,44.9,1.77,20.39
18.0,Male,63.9,1.71,21.96
36.0,Female,67.5,1.71,18.75
24.0,Female,59.0,1.68,14.37
21.0,Male,90.1,1.72,22.34
18.0,Male,48.2,1.75,16.34
18.0,Male,78.1,1.75,17.61
31.0,Male,67.4,1.83,18.29
27.0,Male,44.1,1.56,20.18
26.0,Male,65.0,1.69,29.56
33.0,Female,95.0,1.85,12.66
30.0,Female,65.3,1.76,23.82
59.0,Male,40.0,1.72,12.32
46.0,Female,82.9,1.74,14.4
18.0,Male,59.4,1.87,36.72
49.0,Male,58.2,1.82,19.11
37.0,Female,77.3,1.58,12.32
22.0,Male,66.0,1.67,15.29
29.0,Female,67.4,1.76,19.6
31.0,Male,62.2,1.7,16.7
45.0,,67.3,1.67,17.76
27.0,Female,59.6,1.73,16.62
35.0,Male,40.0,1.72,17.87
24.0,Male,41.3,1.73,14.93
48.0,Male,97.0,1.73,22.39
59.0,Female,47.2,1.68,23.79
49.0,Female,58.7,1.79,28.66
33.0,Male,65.7,1.97,19.14
31.0,Male,80.2,1.74,16.1
40.0,Male,59.3,2.0,17.04
28.0,Male,61.1,1.74,
57.0,Female,79.4,1.55,14.69
55.0,Male,86.2,2.0,20.09
28.0,Male,59.3,1.79,28.16
23.0,Male,40.0,1.87,13.11
30.0,,61.8,1.88,21.86
30.0,Male,40.0,1.63,14.92
25.0,Female,61.4,1.7,19.45
46.0,Female,80.2,1.98,15.63
24.0,Female,89.0,1.61,30.63
28.0,Male,58.0,1.77,14.72
27.0,Male,53.0,1.91,21.18
23.0,Female,51.2,1.92,16.98
26.0,Female,51.9,1.9,20.41
27.0,Female,56.3,1.7,30.84
,Male,92.4,1.52,16.46
59.0,Male,108.3,1.53,17.75
22.0,Female,71.5,1.81,14.55
18.0,Male,89.4,1.84,14.77
32.0,Male,82.3,1.55,20.15
35.0,Male,96.5,1.54,20.43
44.0,Male,40.0,1.91,35.01
43.0,Male,65.2,1.5,14.95
38.0,Female,77.1,,13.97
18.0,Male,53.9,1.62,29.34
42.0,Male,,1.87,20.3
22.0,,69.6,1.8,21.14
18.0,,62.9,1.72,12.32
18.0,,69.1,1.64,16.27
37.0,Female,61.3,1.96,24.18
37.0,Female,78.5,1.5,21.98
41.0,Female,40.0,1.78,12.32
18.0,Male,49.9,1.75,17.64
46.0,Female,69.9,1.68,18.95
24.0,Male,62.5,1.58,36.26
22.0,Male,40.0,1.67,13.05
53.0,Female,46.8,1.69,29.04
44.0,Female,75.2,1.9,
43.0,Male,70.1,1.72,25.52
18.0,Male,40.0,1.7,18.76
59.0,Female,73.6,1.6,15.78
18.0,Male,40.0,1.65,21.36
43.0,Male,72.6,1.64,12.97
36.0,Male,87.6,1.81,18.22
26.0,Female,110.3,1.94,12.32
,Female,79.0,1.68,14.2
40.0,Male,40.0,1.73,36.56
18.0,Male,123.8,1.62,24.63
59.0,Female,40.0,1.84,14.55
38.0,Male,41.4,1.71,14.6
33.0,Female,60.5,1.76,28.93
45.0,Female,40.0,1.69,12.75
44.0,Female,52.8,1.71,12.32
39.0,Female,69.9,1.85,12.87
25.0,Female,51.0,1.76,12.64
50.0,Female,92.6,1.91,21.42
21.0,Female,52.7,1.53,25.06
49.0,Male,40.0,1.75,19.15
20.0,Male,40.0,1.78,22.57
50.0,Male,40.0,1.92,18.29
52.0,Female,81.7,1.59,19.89
41.0,Male,65.9,1.93,17.6
22.0,Male,55.0,1.88,26.04
19.0,,92.2,1.73,15.3
31.0,Female,67.9,1.7,13.87
32.0,Female,86.0,1.6,20.18
