workout_type,session_duration (hours),calories_burned,workout_frequency (days/week),experience_level
Strength,1.45,570.0,4.0,1.0
Cardio,1.13,771.0,4.0,2.0
Strength,0.85,1098.0,4.0,2.0
Strength,1.04,1382.0,2.0,3.0
Strength,1.18,1048.0,5.0,2.0
Strength,1.67,495.0,3.0,
Cardio,1.46,990.0,2.0,1.0
Cardio,1.41,1013.0,3.0,3.0
HIIT,1.22,1267.0,3.0,2.0
Cardio,1.48,918.0,5.0,1.0
Cardio,1.56,999.0,5.0,3.0
,1.39,1040.0,2.0,2.0
HIIT,0.96,1291.0,2.0,2.0
Strength,1.33,,4.0,2.0
Yoga,1.35,1628.0,5.0,2.0
Yoga,1.64,683.0,4.0,1.0
Cardio,1.64,1486.0,2.0,1.0
Strength,0.56,1249.0,3.0,3.0
Strength,1.57,1050.0,4.0,2.0
Yoga,1.41,1180.0,3.0,2.0
Strength,,843.0,3.0,1.0
Strength,1.01,1740.0,4.0,1.0
HIIT,1.55,804.0,3.0,1.0
HIIT,1.51,1221.0,5.0,2.0
HIIT,1.4,505.0,5.0,2.0
Cardio,1.32,927.0,3.0,1.0
Yoga,1.37,606.0,2.0,2.0
Yoga,1.55,436.0,3.0,1.0
HIIT,2.0,1246.0,3.0,1.0
HIIT,2.0,1309.0,2.0,
\nStrength,0.94,899.0,3.0,2.0
Strength,1.2,613.0,4.0,2.0
HIIT,1.78,1350.0,3.0,
Yoga,1.97,1276.0,3.0,2.0
Yoga,1.3,719.0,4.0,1.0
,1.42,913.0,3.0,1.0
Cardio,1.57,1283.0,3.0,
Cardio,0.83,857.0,4.0,2.0
HIIT,1.15,776.0,4.0,1.0
Strength,1.46,1103.0,4.0,
Cardio,2.0,864.0,3.0,2.0
Yoga,1.81,758.0,3.0,2.0
Yoga,1.91,684.0,3.0,1.0
Yoga,1.41,726.0,2.0,3.0
Yoga,1.98,1132.0,3.0,2.0
HIIT,1.53,850.0,4.0,1.0
HIIT,1.93,1056.0,4.0,2.0
Cardio,1.46,1481.0,5.0,1.0
Strength,1.42,1384.0,4.0,1.0
Strength,2.0,1183.0,3.0,1.0
Strength,1.22,923.0,3.0,2.0
HIIT,1.28,1261.0,4.0,2.0
Yoga,2.0,1306.0,4.0,2.0
Strength,1.34,820.0,4.0,1.0
HIIT,1.4,1177.0,3.0,2.0
HIIT,1.43,1694.0,3.0,2.0
Yoga,1.19,838.0,2.0,1.0
Yoga,1.23,797.0,2.0,1.0
Strength,1.38,1303.0,2.0,2.0
Yoga,1.93,670.0,4.0,1.0
Yoga,1.28,892.0,4.0,3.0
Yoga,1.0,845.0,4.0,1.0
Cardio,1.04,669.0,2.0,2.0
Strength,0.72,674.0,2.0,2.0
Strength,1.16,829.0,4.0,2.0
Yoga,1.41,974.0,4.0,1.0
Strength,1.28,780.0,4.0,2.0
Yoga,1.26,906.0,4.0,1.0
HIIT,1.6,1326.0,5.0,1.0
Strength,1.83,1178.0,2.0,1.0
Yoga,1.09,790.0,3.0,2.0
Strength,1.29,954.0,2.0,1.0
Yoga,1.12,1150.0,5.0,2.0
Strength,1.03,1590.0,2.0,3.0
Yoga,0.94,1137.0,2.0,3.0
Cardio,,1359.0,2.0,3.0
HIIT,1.65,1353.0,4.0,1.0
Strength,1.82,625.0,4.0,3.0
Cardio,1.5,1407.0,5.0,1.0
Cardio,1.07,1389.0,4.0,2.0
Cardio,,670.0,5.0,1.0
Strength,1.82,773.0,4.0,2.0
Yoga,1.9,972.0,2.0,1.0
HIIT,1.31,486.0,2.0,3.0
Strength,1.46,1286.0,2.0,3.0
HIIT,1.13,1089.0,4.0,2.0
Yoga,1.34,1096.0,4.0,2.0
Cardio,0.52,724.0,5.0,3.0
\tYoga,1.29,1770.0,3.0,1.0
HIIT,1.47,574.0,4.0,1.0
Yoga,2.0,1571.0,3.0,2.0
Yoga,1.53,1476.0,4.0,2.0
Yoga,0.92,1121.0,4.0,2.0
Strength,1.51,1651.0,3.0,3.0
Cardio,1.18,441.0,3.0,1.0
Strength,1.22,984.0,3.0,1.0
HIIT,1.9,368.0,5.0,2.0
Strength,0.89,771.0,4.0,1.0
Strength,1.28,846.0,3.0,2.0
Cardio,0.58,992.0,4.0,1.0
HIIT,0.72,408.0,5.0,
HIIT,0.84,420.0,4.0,1.0
\tCardio,1.14,1175.0,5.0,3.0
Cardio,1.49,1063.0,3.0,2.0
Cardio,1.42,963.0,3.0,3.0
HIIT,1.99,1047.0,4.0,3.0
Cardio,1.66,737.0,4.0,2.0
Cardio,2.0,1084.0,3.0,2.0
Cardio,0.89,984.0,2.0,3.0
Strength,1.49,813.0,2.0,3.0
Yoga,1.5,1436.0,3.0,1.0
Yoga,0.82,1184.0,2.0,1.0
Cardio,1.39,801.0,2.0,3.0
Cardio,1.37,871.0,4.0,
\tYoga,0.5,880.0,4.0,2.0
Yoga,2.0,1137.0,2.0,2.0
HIIT,1.25,1092.0,5.0,1.0
Yoga,1.51,1367.0,3.0,1.0
Yoga,1.07,1204.0,2.0,2.0
Yoga,1.68,1205.0,4.0,
Cardio,1.13,1507.0,5.0,2.0
Strength,2.0,645.0,5.0,2.0
Strength,1.48,1128.0,4.0,1.0
Yoga,0.96,,4.0,1.0
Cardio,1.33,1088.0,4.0,1.0
Strength,1.2,1783.0,3.0,2.0
Cardio,1.2,1146.0,4.0,2.0
Cardio,1.58,1014.0,5.0,3.0
Cardio,1.14,574.0,4.0,2.0
HIIT,1.58,995.0,4.0,3.0
Strength,0.9,886.0,2.0,1.0
Yoga,2.0,870.0,3.0,1.0
HIIT,1.48,1149.0,5.0,2.0
HIIT,1.5,1721.0,5.0,1.0
HIIT,1.22,928.0,3.0,2.0
Cardio,1.64,303.0,3.0,1.0
Yoga,1.44,1153.0,2.0,2.0
Yoga,0.95,1293.0,3.0,2.0
Yoga,1.85,1118.0,3.0,2.0
Cardio,1.11,612.0,2.0,2.0
Cardio,2.0,1386.0,3.0,2.0
Cardio,0.5,1783.0,4.0,3.0
HIIT,1.03,1175.0,4.0,2.0
Yoga,1.42,1153.0,3.0,1.0
HIIT,0.57,1267.0,4.0,2.0
Yoga,1.23,375.0,5.0,
Cardio,1.19,1405.0,2.0,1.0
Cardio,1.55,968.0,4.0,3.0
Yoga,1.27,493.0,3.0,1.0
Strength,1.28,1239.0,4.0,
Cardio,1.44,1155.0,,1.0
Strength,1.24,1420.0,5.0,1.0
HIIT,0.84,536.0,3.0,2.0
HIIT,2.0,766.0,3.0,1.0
Strength,1.64,596.0,2.0,2.0
Cardio,1.41,1024.0,4.0,3.0
Yoga,1.99,878.0,2.0,3.0
Yoga,0.95,1030.0,3.0,1.0
HIIT,1.61,606.0,2.0,2.0
HIIT,0.78,772.0,3.0,2.0
Strength,1.44,564.0,3.0,2.0
Cardio,1.22,1193.0,4.0,2.0
Strength,0.85,888.0,3.0,1.0
Strength,0.74,1783.0,3.0,3.0
HIIT,1.16,483.0,,1.0
HIIT,2.0,765.0,4.0,2.0
Yoga,1.25,1576.0,2.0,2.0
Strength,1.41,723.0,5.0,1.0
Strength,0.92,1482.0,2.0,3.0
Yoga,0.6,1151.0,2.0,2.0
HIIT,1.67,972.0,2.0,
HIIT,0.83,732.0,2.0,3.0
Strength,1.28,834.0,4.0,2.0
Yoga,2.0,1108.0,4.0,2.0
HIIT,1.96,535.0,4.0,2.0
Yoga,1.23,1046.0,5.0,3.0
Yoga,2.0,767.0,4.0,2.0
HIIT,1.15,971.0,5.0,
\tYoga,1.08,1058.0,,3.0
\nStrength,1.11,1105.0,3.0,1.0
Strength,2.0,1259.0,3.0,1.0
HIIT,1.12,998.0,,3.0
HIIT,2.0,1285.0,3.0,2.0
Yoga,1.97,897.0,5.0,3.0
Yoga,1.2,1109.0,3.0,3.0
HIIT,1.22,1292.0,3.0,2.0
Strength,1.43,804.0,2.0,2.0
HIIT,1.23,1044.0,4.0,1.0
HIIT,1.66,1382.0,4.0,2.0
Cardio,1.43,1256.0,5.0,
Strength,0.98,921.0,4.0,1.0
Yoga,2.0,863.0,3.0,1.0
Strength,2.0,855.0,5.0,1.0
Strength,1.29,925.0,2.0,1.0
Strength,1.47,1461.0,2.0,3.0
Strength,1.15,707.0,,2.0
Cardio,2.0,466.0,4.0,1.0
HIIT,0.98,1076.0,4.0,2.0
Yoga,1.73,,3.0,1.0
Yoga,1.38,480.0,3.0,3.0
Cardio,1.31,706.0,2.0,1.0
HIIT,0.99,808.0,3.0,1.0
HIIT,1.51,1153.0,4.0,2.0
HIIT,1.38,996.0,2.0,2.0
Yoga,1.18,828.0,3.0,2.0
Cardio,1.07,1029.0,5.0,1.0
Strength,1.68,1001.0,4.0,1.0
Strength,1.23,686.0,3.0,3.0
Cardio,2.0,1126.0,4.0,2.0
,1.46,708.0,3.0,2.0
Yoga,1.01,985.0,2.0,3.0
Yoga,1.43,577.0,4.0,2.0
Cardio,0.93,,4.0,1.0
Yoga,1.99,647.0,5.0,2.0
,1.68,1263.0,3.0,2.0
Cardio,1.47,1609.0,4.0,2.0
Yoga,1.15,1018.0,3.0,1.0
Cardio,1.79,1009.0,3.0,3.0
Yoga,2.0,1462.0,4.0,2.0
HIIT,1.43,,3.0,2.0
HIIT,1.84,1321.0,4.0,3.0
Strength,1.14,977.0,4.0,3.0
Strength,1.26,1703.0,4.0,2.0
Cardio,1.54,1295.0,3.0,3.0
Cardio,1.54,1130.0,3.0,1.0
Cardio,2.0,,3.0,1.0
Cardio,1.95,1783.0,2.0,1.0
Yoga,2.0,1396.0,2.0,2.0
HIIT,2.0,950.0,4.0,2.0
Cardio,1.23,1080.0,3.0,3.0
Cardio,1.43,686.0,3.0,3.0
Strength,0.53,907.0,,3.0
Cardio,1.03,826.0,2.0,2.0
Yoga,1.61,587.0,3.0,1.0
Yoga,1.34,752.0,3.0,2.0
HIIT,1.4,501.0,2.0,1.0
\nStrength,1.59,1121.0,2.0,1.0
HIIT,1.7,854.0,2.0,2.0
Yoga,0.9,664.0,2.0,1.0
,1.34,904.0,3.0,1.0
,0.96,869.0,5.0,1.0
Strength,2.0,1380.0,3.0,2.0
Strength,0.93,1668.0,,2.0
Strength,1.3,1386.0,3.0,1.0
Strength,1.65,1741.0,4.0,1.0
Yoga,1.56,303.0,5.0,3.0
Yoga,1.35,1376.0,3.0,3.0
Cardio,1.96,582.0,3.0,3.0
HIIT,2.0,786.0,2.0,1.0
HIIT,0.98,1117.0,5.0,2.0
,1.89,1071.0,5.0,2.0
Strength,0.91,759.0,3.0,3.0
HIIT,1.52,1144.0,2.0,2.0
Strength,1.47,1152.0,5.0,2.0
Cardio,1.17,1040.0,2.0,2.0
HIIT,1.56,350.0,4.0,1.0
Strength,1.77,,4.0,2.0
HIIT,1.16,802.0,4.0,2.0
Cardio,1.28,1783.0,,1.0
Strength,0.92,1221.0,3.0,3.0
HIIT,1.1,1766.0,3.0,1.0
Strength,1.44,1058.0,4.0,2.0
Strength,0.84,606.0,3.0,1.0
Yoga,2.0,1455.0,3.0,3.0
Cardio,1.45,1230.0,2.0,2.0
Strength,0.7,1247.0,3.0,1.0
Cardio,,1772.0,4.0,1.0
Cardio,0.66,1208.0,3.0,1.0
Yoga,0.99,1672.0,2.0,3.0
Yoga,1.44,1277.0,5.0,3.0
Strength,1.32,953.0,4.0,2.0
Yoga,1.71,979.0,3.0,2.0
Strength,1.27,1002.0,3.0,2.0
Yoga,1.06,1225.0,4.0,1.0
Cardio,0.93,1108.0,2.0,2.0
Cardio,1.4,758.0,4.0,1.0
HIIT,2.0,1030.0,4.0,2.0
Cardio,1.45,1113.0,4.0,3.0
Yoga,1.77,1337.0,4.0,1.0
HIIT,1.01,1289.0,2.0,1.0
,1.25,918.0,3.0,3.0
Cardio,1.4,1155.0,2.0,3.0
Yoga,1.05,367.0,3.0,
Yoga,1.16,1019.0,3.0,1.0
Cardio,1.15,1238.0,4.0,1.0
Strength,1.46,1143.0,3.0,1.0
HIIT,1.57,1410.0,,
Yoga,1.26,1474.0,4.0,1.0
Cardio,1.47,1709.0,4.0,1.0
Strength,1.98,1656.0,4.0,2.0
Cardio,1.2,978.0,3.0,1.0
Cardio,2.0,416.0,2.0,2.0
HIIT,0.72,862.0,4.0,3.0
Strength,1.33,1001.0,2.0,2.0
HIIT,2.0,1181.0,3.0,2.0
Yoga,1.03,608.0,4.0,2.0
HIIT,2.0,1337.0,3.0,1.0
Yoga,1.94,1297.0,3.0,3.0
Yoga,1.45,1642.0,3.0,2.0
HIIT,1.1,941.0,3.0,2.0
Strength,1.23,991.0,5.0,1.0
Cardio,0.89,1441.0,2.0,2.0
Strength,1.11,629.0,5.0,2.0
Yoga,1.05,1121.0,5.0,2.0
HIIT,1.17,733.0,3.0,2.0
Cardio,1.34,1783.0,4.0,2.0
HIIT,1.27,917.0,4.0,2.0
Cardio,0.89,943.0,4.0,1.0
HIIT,1.27,314.0,5.0,1.0
Yoga,1.21,746.0,5.0,1.0
HIIT,0.86,944.0,5.0,2.0
Yoga,1.37,1741.0,4.0,
Cardio,1.02,1232.0,3.0,1.0
Yoga,1.33,1166.0,3.0,1.0
Cardio,1.5,712.0,2.0,2.0
Strength,1.85,1265.0,,2.0
HIIT,1.64,1001.0,4.0,2.0
Cardio,1.26,1024.0,3.0,1.0
Yoga,0.94,1277.0,3.0,2.0
HIIT,2.0,1005.0,4.0,1.0
HIIT,1.17,1104.0,3.0,1.0
HIIT,1.34,715.0,2.0,1.0
HIIT,2.0,1104.0,3.0,1.0
Strength,1.05,947.0,3.0,1.0
HIIT,0.58,933.0,4.0,2.0
\nStrength,1.46,796.0,4.0,1.0
Cardio,1.65,1265.0,2.0,2.0
Yoga,1.2,1240.0,3.0,2.0
HIIT,0.76,1371.0,2.0,1.0
HIIT,2.0,1009.0,3.0,3.0
Strength,1.22,361.0,2.0,3.0
,1.48,953.0,3.0,
Yoga,1.93,881.0,2.0,2.0
Strength,1.28,911.0,4.0,3.0
HIIT,0.98,1443.0,4.0,3.0
Yoga,2.0,1508.0,4.0,1.0
Cardio,1.27,1200.0,4.0,3.0
,1.57,848.0,5.0,1.0
Strength,1.62,571.0,4.0,2.0
Cardio,1.6,1286.0,5.0,2.0
HIIT,1.65,1075.0,2.0,1.0
HIIT,1.48,1088.0,5.0,2.0
HIIT,1.49,1364.0,3.0,2.0
Strength,1.56,1345.0,4.0,2.0
Strength,1.29,1586.0,3.0,1.0
Cardio,1.69,772.0,,1.0
Cardio,1.0,1133.0,5.0,1.0
Yoga,1.13,708.0,5.0,1.0
Strength,1.26,505.0,2.0,2.0
HIIT,2.0,883.0,3.0,2.0
Yoga,1.57,1070.0,3.0,1.0
Strength,2.0,833.0,3.0,3.0
Strength,1.32,815.0,4.0,1.0
HIIT,1.49,1783.0,4.0,2.0
Cardio,1.25,1190.0,3.0,1.0
Yoga,2.0,1783.0,3.0,2.0
Yoga,0.79,1014.0,4.0,1.0
Strength,1.35,1175.0,2.0,2.0
Cardio,0.82,808.0,2.0,3.0
Strength,1.51,1306.0,3.0,3.0
Yoga,0.95,1556.0,4.0,1.0
Yoga,1.51,828.0,2.0,1.0
Strength,0.99,569.0,4.0,1.0
Strength,1.97,827.0,4.0,2.0
Cardio,1.45,577.0,3.0,3.0
Cardio,1.93,823.0,3.0,1.0
,1.65,680.0,3.0,2.0
HIIT,1.22,829.0,3.0,1.0
Strength,2.0,,2.0,1.0
Strength,0.86,373.0,4.0,2.0
Yoga,0.74,976.0,4.0,3.0
HIIT,,1270.0,,2.0
Cardio,0.5,1165.0,2.0,1.0
Strength,1.82,1395.0,4.0,3.0
Yoga,1.38,466.0,4.0,3.0
Strength,1.11,963.0,2.0,1.0
Cardio,1.12,677.0,2.0,2.0
HIIT,1.38,1180.0,2.0,3.0
Strength,1.78,933.0,4.0,2.0
Yoga,1.43,1093.0,5.0,1.0
Yoga,,1115.0,4.0,
Strength,1.87,862.0,3.0,1.0
Yoga,0.92,1091.0,,1.0
Yoga,1.64,1123.0,4.0,2.0
Cardio,2.0,517.0,4.0,1.0
Strength,1.46,1157.0,4.0,1.0
Strength,1.54,926.0,2.0,
Yoga,0.88,694.0,3.0,
HIIT,0.97,1145.0,2.0,3.0
HIIT,0.94,748.0,4.0,2.0
Yoga,1.51,1236.0,3.0,2.0
Yoga,1.64,1143.0,3.0,2.0
Strength,1.89,1753.0,5.0,1.0
HIIT,1.17,744.0,4.0,2.0
HIIT,0.94,1139.0,2.0,1.0
Strength,1.68,972.0,3.0,2.0
HIIT,0.93,597.0,3.0,3.0
Yoga,0.97,1083.0,4.0,2.0
Cardio,1.29,1233.0,2.0,1.0
Cardio,1.2,840.0,2.0,3.0
Cardio,0.85,917.0,2.0,
Strength,1.55,1710.0,4.0,3.0
Yoga,1.5,1081.0,4.0,1.0
Yoga,2.0,788.0,3.0,
Strength,1.88,1760.0,4.0,2.0
HIIT,0.63,804.0,5.0,3.0
Cardio,2.0,1381.0,3.0,2.0
Yoga,0.75,1534.0,4.0,2.0
Yoga,1.46,1279.0,3.0,1.0
Strength,1.24,945.0,2.0,2.0
,1.35,658.0,4.0,1.0
HIIT,1.33,1194.0,4.0,1.0
Yoga,1.75,1285.0,2.0,3.0
HIIT,1.38,1506.0,4.0,3.0
HIIT,1.69,499.0,3.0,3.0
Yoga,1.13,1011.0,4.0,3.0
HIIT,1.27,1086.0,3.0,1.0
Yoga,1.04,900.0,3.0,2.0
Cardio,1.16,1142.0,5.0,2.0
Yoga,1.53,686.0,2.0,
Strength,1.21,819.0,3.0,1.0
Yoga,1.94,916.0,2.0,1.0
\nStrength,1.65,851.0,3.0,3.0
Strength,1.25,634.0,4.0,
Yoga,0.89,874.0,3.0,2.0
Cardio,0.85,1465.0,3.0,1.0
Cardio,1.22,841.0,,3.0
Yoga,1.63,900.0,2.0,1.0
\tYoga,2.0,494.0,4.0,2.0
Cardio,2.0,640.0,4.0,1.0
Strength,1.27,1497.0,4.0,1.0
Yoga,0.73,877.0,4.0,1.0
Strength,1.07,733.0,3.0,3.0
Cardio,1.0,497.0,2.0,1.0
HIIT,1.55,1068.0,2.0,2.0
HIIT,1.54,1273.0,3.0,1.0
Cardio,1.63,849.0,4.0,2.0
Yoga,2.0,1783.0,2.0,1.0
Strength,1.66,733.0,4.0,2.0
Strength,1.07,738.0,4.0,2.0
HIIT,1.13,753.0,4.0,2.0
Strength,1.08,842.0,2.0,3.0
Cardio,0.74,1237.0,3.0,1.0
Yoga,1.1,1099.0,5.0,1.0
Yoga,0.86,963.0,4.0,3.0
HIIT,1.94,619.0,5.0,1.0
Strength,1.33,1783.0,4.0,1.0
,0.5,729.0,3.0,3.0
Yoga,1.57,1058.0,4.0,2.0
Yoga,1.18,1278.0,3.0,2.0
Cardio,1.09,1593.0,4.0,2.0
Strength,1.21,1643.0,2.0,2.0
HIIT,1.4,659.0,4.0,2.0
HIIT,2.0,1015.0,4.0,3.0
Cardio,1.02,1108.0,3.0,3.0
HIIT,0.73,785.0,4.0,2.0
Cardio,1.44,976.0,2.0,2.0
Strength,1.25,438.0,4.0,2.0
Cardio,1.1,758.0,4.0,1.0
Cardio,1.21,770.0,2.0,3.0
HIIT,1.1,943.0,3.0,2.0
Cardio,1.35,1079.0,4.0,2.0
\tCardio,1.87,1211.0,2.0,2.0
Yoga,1.62,1385.0,5.0,3.0
Strength,0.86,1238.0,4.0,3.0
HIIT,1.19,945.0,2.0,3.0
Yoga,1.79,406.0,3.0,
Yoga,1.18,1001.0,4.0,1.0
Yoga,1.31,1009.0,,3.0
Cardio,1.39,1012.0,4.0,
,,1080.0,5.0,1.0
Cardio,1.21,1186.0,3.0,2.0
Cardio,0.87,872.0,4.0,2.0
Cardio,0.81,1154.0,4.0,2.0
,1.59,1179.0,3.0,2.0
Yoga,1.46,1251.0,4.0,2.0
HIIT,1.12,1392.0,3.0,1.0
Yoga,1.28,794.0,3.0,3.0
Cardio,1.24,484.0,4.0,2.0
Cardio,1.53,1065.0,4.0,2.0
Strength,1.71,1233.0,3.0,1.0
Yoga,1.09,669.0,3.0,2.0
Yoga,1.37,1783.0,3.0,3.0
Cardio,1.14,1415.0,5.0,2.0
Cardio,1.47,705.0,4.0,2.0
HIIT,2.0,1082.0,2.0,3.0
HIIT,1.22,1039.0,4.0,1.0
,0.79,992.0,4.0,1.0
\tYoga,1.5,1624.0,2.0,3.0
Cardio,1.46,1339.0,4.0,3.0
Cardio,0.94,1064.0,2.0,3.0
HIIT,1.45,1132.0,3.0,1.0
Cardio,1.48,804.0,4.0,3.0
HIIT,2.0,858.0,3.0,2.0
Cardio,1.6,1287.0,5.0,3.0
HIIT,1.11,548.0,3.0,1.0
Cardio,1.4,354.0,2.0,3.0
\nStrength,0.87,1260.0,3.0,1.0
Strength,2.0,1783.0,3.0,1.0
Strength,1.09,1148.0,4.0,1.0
Yoga,1.32,501.0,3.0,2.0
Yoga,1.29,671.0,2.0,3.0
Strength,1.29,1296.0,4.0,1.0
Strength,1.67,445.0,4.0,2.0
Yoga,0.86,1080.0,3.0,1.0
Strength,1.22,909.0,2.0,1.0
Yoga,1.47,1275.0,5.0,3.0
Strength,1.49,1307.0,2.0,2.0
HIIT,1.15,1093.0,3.0,2.0
Strength,1.37,1098.0,2.0,3.0
Cardio,1.52,574.0,4.0,2.0
Yoga,1.3,983.0,3.0,2.0
Cardio,1.59,954.0,5.0,2.0
Yoga,1.45,1184.0,5.0,2.0
Strength,2.0,684.0,3.0,1.0
Cardio,1.97,1049.0,4.0,2.0
Strength,0.9,921.0,5.0,2.0
Strength,1.86,1391.0,5.0,3.0
Yoga,2.0,987.0,5.0,2.0
Cardio,1.04,729.0,3.0,1.0
HIIT,1.2,1063.0,3.0,2.0
Yoga,1.86,1332.0,4.0,2.0
HIIT,1.4,716.0,4.0,3.0
Cardio,0.5,864.0,3.0,3.0
Strength,1.12,926.0,4.0,1.0
Cardio,1.55,1144.0,2.0,2.0
HIIT,1.66,881.0,3.0,3.0
Cardio,1.93,1700.0,,3.0
,1.28,691.0,2.0,1.0
Strength,2.0,1310.0,,1.0
HIIT,0.84,1098.0,5.0,1.0
\tCardio,1.41,573.0,3.0,1.0
Cardio,1.44,929.0,2.0,3.0
Yoga,1.83,1122.0,4.0,2.0
HIIT,0.77,1015.0,4.0,2.0
Yoga,0.95,640.0,5.0,2.0
HIIT,1.48,492.0,3.0,1.0
Strength,1.12,1049.0,4.0,1.0
Yoga,1.3,1201.0,2.0,2.0
Strength,1.33,821.0,4.0,3.0
Strength,,303.0,3.0,1.0
Yoga,1.18,690.0,4.0,3.0
HIIT,1.18,744.0,2.0,2.0
Cardio,2.0,1159.0,4.0,1.0
Strength,1.28,648.0,2.0,2.0
Strength,1.98,1515.0,5.0,1.0
HIIT,1.39,1386.0,3.0,3.0
Cardio,1.48,1140.0,4.0,1.0
HIIT,1.77,1088.0,2.0,2.0
HIIT,1.4,901.0,4.0,2.0
HIIT,1.1,594.0,3.0,2.0
HIIT,1.48,658.0,4.0,2.0
Cardio,1.34,1239.0,4.0,2.0
Cardio,2.0,1130.0,3.0,1.0
Cardio,1.21,389.0,3.0,2.0
Yoga,1.71,1140.0,4.0,1.0
Cardio,1.53,1381.0,2.0,2.0
Yoga,2.0,926.0,3.0,1.0
Cardio,1.66,1174.0,2.0,2.0
HIIT,0.62,1227.0,2.0,3.0
Strength,1.85,494.0,4.0,3.0
Strength,1.57,1305.0,,1.0
HIIT,1.02,747.0,5.0,1.0
Strength,2.0,898.0,3.0,2.0
\tCardio,1.11,770.0,3.0,2.0
Cardio,0.78,674.0,,1.0
Strength,1.74,898.0,3.0,2.0
HIIT,2.0,602.0,3.0,3.0
Yoga,2.0,1057.0,3.0,1.0
Strength,1.19,997.0,3.0,1.0
Cardio,1.19,900.0,5.0,2.0
\tYoga,1.42,1418.0,2.0,1.0
Strength,1.11,613.0,2.0,1.0
HIIT,1.62,793.0,4.0,3.0
HIIT,1.01,1536.0,,2.0
Yoga,2.0,920.0,,3.0
HIIT,1.26,681.0,3.0,3.0
HIIT,1.24,1267.0,3.0,2.0
Cardio,1.14,1135.0,3.0,2.0
Cardio,1.01,1011.0,3.0,2.0
HIIT,1.27,891.0,3.0,1.0
Strength,1.59,413.0,2.0,2.0
Cardio,1.35,927.0,4.0,1.0
Strength,1.45,625.0,3.0,1.0
Yoga,2.0,803.0,2.0,1.0
HIIT,1.24,1260.0,4.0,3.0
Yoga,1.79,933.0,4.0,2.0
Yoga,1.19,1392.0,3.0,1.0
HIIT,1.38,995.0,4.0,1.0
Strength,1.38,1643.0,5.0,1.0
Yoga,1.02,1265.0,5.0,1.0
Strength,1.28,303.0,3.0,1.0
Cardio,0.99,1216.0,3.0,3.0
Strength,1.85,993.0,2.0,2.0
Yoga,1.46,1699.0,4.0,2.0
Cardio,1.6,921.0,,2.0
HIIT,1.54,1382.0,5.0,2.0
Strength,1.62,1245.0,4.0,3.0
Yoga,0.73,1103.0,3.0,2.0
Cardio,1.49,663.0,3.0,2.0
Strength,1.95,925.0,3.0,1.0
Yoga,0.54,1266.0,4.0,2.0
Strength,1.43,1321.0,4.0,3.0
Strength,1.15,1177.0,4.0,3.0
HIIT,1.54,1226.0,3.0,2.0
Yoga,2.0,1724.0,3.0,1.0
Yoga,1.3,1382.0,2.0,2.0
Cardio,1.27,1287.0,2.0,3.0
Yoga,1.14,1045.0,3.0,2.0
HIIT,1.58,576.0,3.0,2.0
Cardio,1.34,806.0,2.0,1.0
Strength,1.11,1223.0,4.0,1.0
Strength,1.05,571.0,5.0,2.0
Yoga,1.99,1505.0,4.0,1.0
Cardio,2.0,453.0,2.0,2.0
Yoga,1.13,961.0,,1.0
HIIT,1.09,1305.0,2.0,1.0
Strength,1.34,812.0,4.0,1.0
Cardio,1.3,1171.0,3.0,2.0
HIIT,1.5,572.0,4.0,1.0
Strength,1.29,1021.0,3.0,3.0
HIIT,0.97,1531.0,3.0,3.0
Strength,0.82,829.0,3.0,2.0
Strength,1.38,887.0,2.0,3.0
Cardio,1.36,670.0,3.0,2.0
Cardio,1.51,955.0,4.0,2.0
Cardio,0.71,1305.0,2.0,1.0
Yoga,2.0,1747.0,4.0,2.0
HIIT,0.95,1234.0,,3.0
Yoga,1.48,1517.0,2.0,1.0
Strength,0.83,889.0,4.0,3.0
Strength,1.38,1355.0,3.0,1.0
Strength,1.92,984.0,4.0,3.0
Strength,1.04,1108.0,2.0,1.0
,1.59,1015.0,3.0,1.0
Strength,2.0,723.0,3.0,1.0
Cardio,1.2,697.0,4.0,1.0
HIIT,1.28,1272.0,3.0,1.0
HIIT,1.33,457.0,4.0,2.0
HIIT,1.41,1091.0,4.0,1.0
Cardio,1.48,781.0,3.0,1.0
Cardio,1.29,572.0,4.0,2.0
HIIT,2.0,717.0,4.0,1.0
HIIT,1.36,448.0,5.0,2.0
Strength,1.22,1631.0,4.0,2.0
HIIT,1.45,596.0,3.0,2.0
Cardio,1.01,1061.0,4.0,3.0
HIIT,1.07,770.0,3.0,2.0
Cardio,1.29,580.0,3.0,2.0
Strength,1.33,783.0,2.0,1.0
Strength,1.85,1113.0,3.0,
HIIT,1.96,809.0,3.0,1.0
Strength,2.0,830.0,4.0,3.0
Strength,1.04,1331.0,2.0,1.0
Cardio,1.22,1025.0,2.0,1.0
Cardio,1.41,384.0,3.0,1.0
Cardio,1.5,1057.0,2.0,2.0
HIIT,0.8,784.0,3.0,2.0
HIIT,1.21,1120.0,4.0,1.0
HIIT,1.53,914.0,3.0,2.0
Strength,,1257.0,3.0,3.0
Strength,1.94,1089.0,,2.0
,1.05,880.0,2.0,2.0
HIIT,1.0,865.0,3.0,1.0
Strength,1.21,1097.0,,1.0
Cardio,0.68,882.0,4.0,1.0
,1.07,,3.0,2.0
Cardio,1.15,1384.0,3.0,2.0
HIIT,1.16,1358.0,4.0,3.0
